Date,Title,Incident Area,City,State,Latitude,Longitude,Fatalities,Injured,Race,Gender,"Latitude, Longitude"
7/7/2011,Residences in Grand Rapids,,Grand Rapids, Michigan,42.969,-85.66,8,2,Black American or African American,Male,"(42.969, -85.66)"
4/6/2011,Southern Union State Community College,Opelika campus of Southern Union State Community College in Alabama,Opelika, Alabama,32.662,-85.377,1,3,White American or European American,Male,"(32.662, -85.377)"
2/6/2011,Youngstown State University,fraternity house party,Youngstown, Ohio,41.099,-80.646,1,11,Black American or African American,Male,"(41.099, -80.646)"
1/8/2011,Tucson shooting,,Tucson, Arizona,32.222,-110.926,6,13,white,Male,"(32.222, -110.926)"
8/3/2010,Hartford Beer Distributor shooting,Workplace,Manchester, Connecticut,41.776,-72.521,9,2,black,Male,"(41.776, -72.521)"
2/12/2010,University of Alabama in Huntsville,University of Alabama,Huntsville, Alabama,34.728,-86.672,0,3,White American or European American,Female,"(34.728, -86.672)"
11/29/2009,Coffee shop police killings,Coffee Shop,Parkland, Washington,47.156,-122.437,4,1,black,Male,"(47.156, -122.437)"
11/29/2009,Parkland Coffee Shop,Coffee Shop,Lakewood, Washington,47.163,-122.53,5,0,Black American or African American,Male,"(47.163, -122.53)"
11/5/2009,Fort Hood Army Base,Fort Hood Army Post,Fort Hood, Texas,31.138,-97.778,13,32,White American or European American,Male,"(31.138, -97.778)"
4/3/2009,Binghamton shootings,American Civic Association Centre,Binghamton, New York,42.099,-75.918,14,4,Asian,Male,"(42.099, -75.918)"
3/29/2009,Carthage nursing home shooting,Nursing Home,Carthage, North Carolina,35.346,-79.417,8,3,white,Male,"(35.346, -79.417)"
3/29/2009,"Rivermark, Santa Clara, California",Home,Santa Clara, California,37.365,-121.968,6,1,Asian American,Male,"(37.365, -121.968)"
3/29/2009,Pinelake Health and Rehab nursing home,Nursing Home,Carthage, North Carolina,35.34,-79.414,8,2,White American or European American,Male,"(35.34, -79.414)"
3/10/2009,"Geneva County, Alabama",,Geneva, Alabama,31.044,-85.876,11,6,White American or European American,Male,"(31.044, -85.876)"
12/24/2008,"Covina, California",Home,Covina, California,34.09,-117.882,10,2,White American or European American,Male,"(34.09, -117.882)"
10/26/2008,University of Central Arkansas,Dormitory,Conway, Arkansas,35.081,-92.433,0,1,Black American or African American,Male,"(35.081, -92.433)"
7/24/2008,South Mountain Community College,South Mountain Community College,Phoenix, Arizona,33.571,-112.09,0,3,Black American or African American,Male,"(33.571, -112.09)"
6/25/2008,Atlantis Plastics,Atlantis Plastics Factory,Henderson, Kentucky,37.84,-87.579,7,1,White American or European American,Male,"(37.84, -87.579)"
2/14/2008,Northern Illinois University shooting,Lecture Hall,DeKalb, Illinois,41.929,-88.75,5,21,white,Male,"(41.929, -88.75)"
2/7/2008,Kirkwood City Hall,City Hall Building,Kirkwood, Missouri,38.579,-90.42,6,2,Black American or African American,Male,"(38.579, -90.42)"
12/24/2007,"Carnation, Washington",Home,Carnation, Washington,47.646,-121.909,6,0,White American or European American,Male/Female,"(47.646, -121.909)"
12/11/2007,Mojave High School Bus,School Bus Stop,Las Vegas, Nevada,36.189,-115.326,0,6,Black American or African American,Male,"(36.189, -115.326)"
12/9/2007,Youth With A Mission and New Life Church,Training Center+Church,Arvada, Colorado,39.811,-105.174,5,5,White American or European American,Male,"(39.811, -105.174)"
12/5/2007,Westroads Mall shooting,Shopping Mall,Omaha, Nebraska,41.259,-95.938,9,4,white,Male,"(41.259, -95.938)"
10/25/2007,South Middle School Football Game,"South Middle School in Saginaw, Michigan",Saginaw, Michigan,43.419,-83.95,0,4,Black American or African American,Male,"(43.419, -83.95)"
10/11/2007,SuccessTech Academy,SuccessTech Academy,Cleveland, Ohio,41.477,-81.681,1,4,White American or European American,Male,"(41.477, -81.681)"
10/7/2007,Crandon shooting,Home,Crandon, Wisconsin,45.572,-88.903,6,1,white,Male,"(45.572, -88.903)"
4/16/2007,Virginia Tech massacre,School Campus,Blacksburg, Virginia,37.23,-80.414,32,23,Asian,Male,"(37.23, -80.414)"
