LATITUDE,LONGITUDE,"LATITUDE, LONGITUDE",CITY,STATE,CONGRESSIONAL DISTRICT,MEDIAN AGE,MALE MEDIAN AGE,FEMALE MEDIAN AGE,MALE COUNT,MALE COUNT %,FEMALE COUNT,FEMALE COUNT %,TOTAL POPULATION COUNT,TOTAL NON HISPANIC COUNT,TOTAL NON HISPANIC COUNT %,WHITE POP. COUNT,WHITE POP. COUNT %,BLACK POP. COUNT,BLACK POP. COUNT %,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT,AMERICAN INDIAN/ALASKAN NAT. POP. COUNT %,ASIAN POP. COUNT,ASIAN POP. COUNT %,NAT. HAWAIIAN/PAC. ISL. POP. COUNT,NAT. HAWAIIAN/PAC. ISL. POP. COUNT %,WHITE OTHER POP. COUNT,WHITE OTHER POP. COUNT %,HISPANIC/LATINO POP. COUNT,HISPANIC/LATINO POP. COUNT %,WHITE OTHER POP. COUNT MEMO1,WHITE OTHER POP. COUNT MEMO2,WHITE OTHER POP. COUNT MEMO3,WHITE OTHER POP. COUNT MEMO4,WHITE OTHER POP. COUNT MEMO5,WHITE OTHER POP. COUNT MEMO6,WHITE OTHER POP. COUNT MEMO7,WHITE OTHER POP. COUNT MEMO8
29.76,-95.37,"(29.76, -95.37)",Houston,TX,TX18,40.9,40.7,44.3,727.0,.6,430.0,0.37200000000000005,1157.0,1064.0,0.92,857.0,0.805,89.0,0.084,0.0,0.0,77.0,0.07200000000000001,0.0,0.0,41.0,0.039,93.0,0.1,0.0,0.0,41.0,0.039,0.0,0.0,41.0,1.0
34.74,-88.138,"(34.74, -88.138)",Iuka,MS,MS1,46.7,49.4,45.2,1044.0,.5,977.0,0.483,2021.0,2007.0,0.993,1989.0,0.991,8.0,0.004,0.0,0.0,10.0,0.005,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.951,-82.457,"(27.951, -82.457)",Tampa,FL,FL14,38.3,38.8,37.5,915.0,.6,617.0,0.40299999999999997,1532.0,1148.0,0.7490000000000001,973.0,0.848,78.0,0.068,0.0,0.0,34.0,0.03,0.0,0.0,63.0,0.05499999999999999,384.0,0.3,16.0,0.013999999999999999,47.0,0.040999999999999995,0.0,0.0,47.0,1.0
42.292,-85.587,"(42.292, -85.587)",Kalamazoo,MI,MI6,30.8,33.8,24.2,1448.0,.7,735.0,0.337,2183.0,2112.0,0.9670000000000001,1707.0,0.8079999999999999,190.0,0.09,0.0,0.0,112.0,0.053,0.0,0.0,123.0,0.243,71.0,0.0,0.0,0.0,103.0,0.049,20.0,0.19399999999999998,83.0,0.8059999999999999
38.104,-122.257,"(38.104, -122.257)",Vallejo,CA,CA5,24.7,26.1,24.7,360.0,.4,629.0,0.636,989.0,869.0,0.879,106.0,0.122,558.0,0.642,0.0,0.0,79.0,0.091,0.0,0.0,126.0,0.145,120.0,0.1,0.0,0.0,126.0,0.145,0.0,0.0,126.0,1.0
43.201,-86.239,"(43.201, -86.239)",Muskegon,MI,MI2,32.7,32.2,35.0,576.0,.5,679.0,0.541,1255.0,1171.0,0.9329999999999999,222.0,0.19,845.0,0.722,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.08900000000000001,84.0,0.1,0.0,0.0,104.0,0.08900000000000001,0.0,0.0,104.0,1.0
28.454,-81.465,"(28.454, -81.465)",Orlando,FL,FL10,27.6,30.1,25.7,1228.0,.5,1471.0,0.545,2699.0,2308.0,0.855,1003.0,0.435,1154.0,0.5,0.0,0.0,63.0,0.027000000000000003,0.0,0.0,88.0,0.038,391.0,0.1,15.0,0.006,73.0,0.032,0.0,0.0,73.0,1.0
43.161,-77.611,"(43.161, -77.611)",Rochester,NY,NY25,47.7,35.2,55.7,834.0,.5,748.0,0.473,1582.0,1466.0,0.927,943.0,0.643,447.0,0.305,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.8150000000000001,116.0,0.1,0.0,0.0,76.0,0.052000000000000005,58.0,0.763,18.0,0.237
27.951,-82.457,"(27.951, -82.457)",Tampa,FL,FL14,38.3,38.8,37.5,915.0,.6,617.0,0.40299999999999997,1532.0,1148.0,0.7490000000000001,973.0,0.848,78.0,0.068,0.0,0.0,34.0,0.03,0.0,0.0,63.0,0.05499999999999999,384.0,0.3,16.0,0.013999999999999999,47.0,0.040999999999999995,0.0,0.0,47.0,1.0
34.052,-118.244,"(34.052, -118.244)",Los Angeles,CA,CA34,33.2,34.6,25.0,1125.0,.8,259.0,0.187,1384.0,717.0,0.518,225.0,0.314,308.0,0.43,9.0,0.013000000000000001,130.0,0.18100000000000002,5.0,0.006999999999999999,63.0,0.631,667.0,0.5,0.0,0.0,40.0,0.055999999999999994,23.0,0.575,17.0,0.425
29.21,-99.786,"(29.21, -99.786)",Uvalde,TX,TX23,34.8,30.5,41.2,1035.0,.5,926.0,0.47200000000000003,1961.0,597.0,0.304,549.0,0.92,24.0,0.04,2.0,0.003,22.0,0.037000000000000005,0.0,0.0,0.0,0.0,1364.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.951,-90.072,"(29.951, -90.072)",New Orleans,LA,LA2,35.5,35.8,33.9,943.0,.6,579.0,0.38,1522.0,1377.0,0.905,857.0,0.622,357.0,0.259,0.0,0.0,105.0,0.076,0.0,0.0,58.0,0.041999999999999996,145.0,0.1,26.0,0.019,32.0,0.023,0.0,0.0,32.0,1.0
33.539,-112.186,"(33.539, -112.186)",Glendale,AZ,AZ7,46.9,35.1,50.6,203.0,.5,214.0,0.513,417.0,260.0,0.624,243.0,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.065,157.0,0.4,0.0,0.0,17.0,0.065,0.0,0.0,17.0,1.0
38.045,-77.286,"(38.045, -77.286)",Bowling Green,VA,VA1,0.0,0.0,0.0,0.0,an,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.792,-76.329,"(36.792, -76.329)",Chesapeake,VA,VA3,42.0,42.1,40.5,444.0,.5,524.0,0.541,968.0,956.0,0.988,815.0,0.853,51.0,0.053,0.0,0.0,72.0,0.075,0.0,0.0,18.0,0.019,12.0,0.0,0.0,0.0,18.0,0.019,0.0,0.0,18.0,1.0
33.783,-117.229,"(33.783, -117.229)",Perris,CA,CA41,21.8,21.6,22.3,1740.0,.5,1844.0,0.515,3584.0,405.0,0.113,266.0,0.657,103.0,0.254,0.0,0.0,12.0,0.03,0.0,0.0,40.0,0.7260000000000001,3179.0,0.9,0.0,0.0,24.0,0.059000000000000004,16.0,0.667,8.0,0.33299999999999996
30.754,-86.573,"(30.754, -86.573)",Crestview,FL,FL1,43.0,45.1,40.8,160.0,.5,178.0,0.527,338.0,338.0,1.0,149.0,0.441,155.0,0.45899999999999996,20.0,0.059000000000000004,0.0,0.0,0.0,0.0,14.0,0.040999999999999995,0.0,0.0,0.0,0.0,14.0,0.040999999999999995,0.0,0.0,14.0,1.0
